일매출2기간비교분석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조회1(일),2026-01-01 - 2026-05-31,조회2(일),2025-01-01 - 2025-05-31,구매그룹(Now:손익센터),EBA; EFA; EGA; FAA,CU(Now:손익센터),,플랜트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,년월,전체 결과,전체 결과,전체 결과,전체 결과,전체 결과,전체 결과,2025-01,2025-01,2025-01,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-05,2025-05,2025-05,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05
,,,,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익
,,,구조,2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율"
구매그룹(Now:손익센터),,브랜드(Now),,KRW,KRW,%,KRW,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%
전체 결과,,,,"86,470,163,646","71,855,802,028",20.3,"14,305,842,071","13,262,089,243",7.9,,"14,202,074,805",-100.0,,"2,634,316,041",-100.0,,"13,782,037,349",-100.0,,"2,642,513,941",-100.0,,"15,051,892,499",-100.0,,"2,690,952,071",-100.0,,"13,171,796,793",-100.0,,"2,516,910,249",-100.0,,"15,648,000,582",-100.0,,"2,777,396,941",-100.0,"15,611,825,446",,0.0,"2,738,885,067",,0.0,"16,631,032,705",,0.0,"2,823,062,064",,0.0,"16,963,557,292",,0.0,"2,830,502,210",,0.0,"16,449,402,838",,0.0,"2,746,542,911",,0.0,"20,814,345,365",,0.0,"3,166,849,819",,0.0
EBA,취미/라이프,결과,,"566,590,073","490,780,539",15.4,"227,838,366","294,196,221",-22.6,,"134,757,809",-100.0,,"65,001,066",-100.0,,"87,245,945",-100.0,,"55,538,754",-100.0,,"82,700,588",-100.0,,"56,378,632",-100.0,,"86,336,524",-100.0,,"57,406,973",-100.0,,"99,739,673",-100.0,,"59,870,796",-100.0,"107,902,664",,0.0,"41,269,922",,0.0,"141,572,603",,0.0,"50,284,281",,0.0,"84,654,586",,0.0,"40,919,714",,0.0,"81,849,823",,0.0,"40,923,887",,0.0,"150,610,397",,0.0,"54,440,562",,0.0
EBA,취미/라이프,E986,아트키즈,"29,901,500","37,827,300",-21.0,"3,669,711","4,642,419",-21.0,,"13,067,000",-100.0,,"1,603,671",-100.0,,"9,400,200",-100.0,,"1,153,655",-100.0,,"5,264,600",-100.0,,"646,106",-100.0,,"3,759,500",-100.0,,"461,391",-100.0,,"6,336,000",-100.0,,"777,596",-100.0,"8,634,000",,0.0,"1,059,621",,0.0,"7,797,500",,0.0,"956,962",,0.0,"4,763,800",,0.0,"584,645",,0.0,"2,461,700",,0.0,"302,113",,0.0,"6,244,500",,0.0,"766,370",,0.0
EBA,취미/라이프,H599,정관장,"161,925,620","122,851,715",31.8,"31,324,828","24,508,198",27.8,,"53,190,765",-100.0,,"9,827,296",-100.0,,"12,255,600",-100.0,,"2,758,370",-100.0,,"10,925,800",-100.0,,"2,308,490",-100.0,,"18,160,150",-100.0,,"3,800,947",-100.0,,"28,319,400",-100.0,,"5,813,095",-100.0,"26,094,270",,0.0,"5,042,529",,0.0,"72,756,470",,0.0,"13,510,672",,0.0,"14,300,700",,0.0,"3,252,466",,0.0,"18,754,170",,0.0,"3,666,681",,0.0,"30,020,010",,0.0,"5,852,480",,0.0
EBA,취미/라이프,H600,인생네컷,"18,418,500","20,966,000",-12.2,"2,637,194","3,001,950",-12.2,,"5,818,500",-100.0,,"833,104",-100.0,,"3,993,000",-100.0,,"571,725",-100.0,,"4,331,000",-100.0,,"620,120",-100.0,,"2,928,500",-100.0,,"419,308",-100.0,,"3,895,000",-100.0,,"557,693",-100.0,"4,373,500",,0.0,"626,205",,0.0,"3,734,000",,0.0,"534,641",,0.0,"4,088,500",,0.0,"585,399",,0.0,"2,468,000",,0.0,"353,373",,0.0,"3,754,500",,0.0,"537,576",,0.0
EBA,취미/라이프,H809,충전돼지,"1,686,438","1,888,732",-10.7,"613,252","686,812",-10.7,,"-24,320",100.0,,"-8,844",100.0,,"579,032",-100.0,,"210,557",-100.0,,"510,833",-100.0,,"185,757",-100.0,,"319,016",-100.0,,"116,006",-100.0,,"504,171",-100.0,,"183,336",-100.0,"398,955",,0.0,"145,075",,0.0,"306,334",,0.0,"111,394",,0.0,"207,989",,0.0,"75,633",,0.0,"607,251",,0.0,"220,819",,0.0,"165,909",,0.0,"60,331",,0.0
EBA,취미/라이프,H833,헬로포토,,"11,512,740",-100.0,,"1,360,597",-100.0,,"2,938,000",-100.0,,"347,218",-100.0,,"3,740,740",-100.0,,"442,087",-100.0,,"1,862,000",-100.0,,"220,055",-100.0,,"1,785,000",-100.0,,"210,955",-100.0,,"1,187,000",-100.0,,"140,282",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBA,취미/라이프,I487,마실파크골프,"53,044,940",,0.0,"3,938,537",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,417,500",,0.0,"1,185,907",,0.0,"9,314,000",,0.0,"634,912",,0.0,"9,125,540",,0.0,"699,502",,0.0,"8,945,900",,0.0,"730,219",,0.0,"8,242,000",,0.0,"687,997",,0.0
EBA,취미/라이프,I513,파크야 스크린 파크골프,"53,362,101",,0.0,"5,181,335",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,664,000",,0.0,"1,422,037",,0.0,"9,188,900",,0.0,"910,563",,0.0,"12,936,001",,0.0,"1,243,108",,0.0,"9,166,500",,0.0,"879,377",,0.0,"7,406,700",,0.0,"726,250",,0.0
EBA,취미/라이프,I958,파도가,"30,956,300",,0.0,"7,458,760",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,800",,0.0,"45,409",,0.0,"30,763,500",,0.0,"7,413,351",,0.0
EBA,취미/라이프,I963,아임팟,"6,093,700",,0.0,"1,035,929",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,093,700",,0.0,"1,035,929",,0.0
EBA,취미/라이프,I965,라이프프레이,"18,487,850",,0.0,"2,521,070",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,487,850",,0.0,"2,521,070",,0.0
EBA,취미/라이프,#,지정되지 않음,"192,713,124","295,734,052",-34.8,"169,457,750","259,996,245",-34.8,,"59,767,864",-100.0,,"52,398,621",-100.0,,"57,277,373",-100.0,,"50,402,360",-100.0,,"59,806,355",-100.0,,"52,398,104",-100.0,,"59,384,358",-100.0,,"52,398,366",-100.0,,"59,498,102",-100.0,,"52,398,794",-100.0,"36,320,439",,0.0,"31,788,548",,0.0,"38,475,399",,0.0,"33,625,137",,0.0,"39,232,056",,0.0,"34,478,961",,0.0,"39,253,502",,0.0,"34,725,896",,0.0,"39,431,728",,0.0,"34,839,208",,0.0
EFA,가정문화,결과,,"17,348,220,283","13,797,345,085",25.7,"2,929,317,565","2,821,186,778",3.8,,"2,502,662,356",-100.0,,"523,957,944",-100.0,,"2,865,761,150",-100.0,,"583,677,501",-100.0,,"2,813,601,303",-100.0,,"566,114,387",-100.0,,"2,821,505,312",-100.0,,"572,775,561",-100.0,,"2,793,814,964",-100.0,,"574,661,385",-100.0,"2,699,808,253",,0.0,"513,194,729",,0.0,"3,606,167,161",,0.0,"626,345,708",,0.0,"3,008,957,782",,0.0,"546,447,545",,0.0,"3,659,447,767",,0.0,"594,257,486",,0.0,"4,373,839,320",,0.0,"649,072,097",,0.0
EFA,가정문화,D355,글라스락,,"59,135,000",-100.0,,"8,063,858",-100.0,,"23,681,000",-100.0,,"3,229,226",-100.0,,,,,,,,"33,943,100",-100.0,,"4,628,601",-100.0,,"1,525,900",-100.0,,"208,077",-100.0,,"-15,000",100.0,,"-2,046",100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,D508,브랜드아웃,,"22,728,500",-100.0,,"4,132,454",-100.0,,"8,153,400",-100.0,,"1,482,436",-100.0,,"14,575,100",-100.0,,"2,650,018",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,D808,아트박스,,0,0.0,,5,-100.0,,0,0.0,,5,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,D927,소프라움,,"60,266,480",-100.0,,"10,957,540",-100.0,,"11,441,650",-100.0,,"2,080,299",-100.0,,"13,844,500",-100.0,,"2,517,183",-100.0,,"11,943,690",-100.0,,"2,171,581",-100.0,,"11,512,500",-100.0,,"2,093,180",-100.0,,"11,524,140",-100.0,,"2,095,297",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,E878,소노시즌,"62,136,850","78,747,308",-21.1,"11,297,607","14,317,695",-21.1,,"16,378,800",-100.0,,"2,977,963",-100.0,,"21,956,000",-100.0,,"3,991,999",-100.0,,"10,212,908",-100.0,,"1,856,894",-100.0,,"13,672,400",-100.0,,"2,485,894",-100.0,,"16,527,200",-100.0,,"3,004,945",-100.0,"13,205,600",,0.0,"2,401,015",,0.0,"2,553,000",,0.0,"464,181",,0.0,"18,328,500",,0.0,"3,332,455",,0.0,"8,523,750",,0.0,"1,549,774",,0.0,"19,526,000",,0.0,"3,550,182",,0.0
EFA,가정문화,E947,에스엠,"117,536,870","124,701,210",-5.7,"14,257,043","14,694,761",-3.0,,"37,514,950",-100.0,,"4,367,083",-100.0,,"27,733,130",-100.0,,"3,263,968",-100.0,,"19,745,570",-100.0,,"2,359,292",-100.0,,"21,295,230",-100.0,,"2,458,072",-100.0,,"18,412,330",-100.0,,"2,246,346",-100.0,"24,529,030",,0.0,"3,002,318",,0.0,"21,840,770",,0.0,"2,668,193",,0.0,"28,311,720",,0.0,"3,385,577",,0.0,"20,295,650",,0.0,"2,476,818",,0.0,"22,559,700",,0.0,"2,724,137",,0.0
EFA,가정문화,H475,퀸즈빌,,"5,852,920",-100.0,,"1,346,172",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,"5,852,920",-100.0,,"1,346,172",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H483,비비안,"141,217,850","132,572,870",6.5,"35,304,463","33,143,218",6.5,,"23,206,500",-100.0,,"5,801,625",-100.0,,"19,171,500",-100.0,,"4,792,875",-100.0,,"27,226,730",-100.0,,"6,806,683",-100.0,,"30,541,260",-100.0,,"7,635,315",-100.0,,"32,426,880",-100.0,,"8,106,720",-100.0,"25,680,000",,0.0,"6,420,000",,0.0,"60,268,180",,0.0,"15,067,045",,0.0,"33,866,150",,0.0,"8,466,538",,0.0,"14,454,600",,0.0,"3,613,650",,0.0,"6,948,920",,0.0,"1,737,230",,0.0
EFA,가정문화,H495,쟈키,,"-140,000",100.0,,"-35,637",100.0,,,,,,,,"-140,000",100.0,,"-35,637",100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H499,락앤락,"1,045,513,536","1,730,728,078",-39.6,"142,570,047","236,676,148",-39.8,,"194,758,230",-100.0,,"26,757,234",-100.0,,"370,778,548",-100.0,,"50,711,106",-100.0,,"451,425,810",-100.0,,"61,684,983",-100.0,,"451,820,310",-100.0,,"61,739,614",-100.0,,"261,945,180",-100.0,,"35,783,211",-100.0,"100,754,140",,0.0,"13,739,205",,0.0,"259,386,540",,0.0,"35,370,895",,0.0,"131,748,180",,0.0,"17,965,662",,0.0,"419,486,486",,0.0,"57,202,715",,0.0,"134,138,190",,0.0,"18,291,570",,0.0
EFA,가정문화,H533,좋은숨,"30,793,800","128,964,370",-76.1,"6,438,708","26,965,277",-76.1,,"18,079,900",-100.0,,"3,780,345",-100.0,,"15,983,850",-100.0,,"3,342,076",-100.0,,"16,971,900",-100.0,,"3,548,668",-100.0,,"49,456,320",-100.0,,"10,340,867",-100.0,,"28,472,400",-100.0,,"5,953,321",-100.0,"12,686,900",,0.0,"2,652,717",,0.0,"6,344,900",,0.0,"1,326,661",,0.0,"11,762,000",,0.0,"2,459,330",,0.0,,,,,,,,,,,,
EFA,가정문화,H545,수엔지,"770,176,500","951,024,780",-19.0,"175,040,070","215,668,396",-18.8,,"163,273,400",-100.0,,"37,107,583",-100.0,,"225,658,280",-100.0,,"50,967,057",-100.0,,"165,650,900",-100.0,,"37,649,006",-100.0,,"192,417,100",-100.0,,"43,715,573",-100.0,,"204,025,100",-100.0,,"46,229,177",-100.0,"123,554,700",,0.0,"28,080,601",,0.0,"145,969,400",,0.0,"33,174,854",,0.0,"155,129,800",,0.0,"35,256,772",,0.0,"138,416,600",,0.0,"31,458,308",,0.0,"207,106,000",,0.0,"47,069,535",,0.0
EFA,가정문화,H575,빈센치오,,"46,255,200",-100.0,,"10,512,544",-100.0,,"10,188,200",-100.0,,"2,315,499",-100.0,,"8,271,000",-100.0,,"1,879,773",-100.0,,"8,800,500",-100.0,,"2,000,112",-100.0,,"7,932,000",-100.0,,"1,802,728",-100.0,,"11,063,500",-100.0,,"2,514,432",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H578,정인,"10,067,200","15,713,746",-35.9,"2,287,998","3,571,305",-35.9,,"7,571,630",-100.0,,"1,720,825",-100.0,,,,,,,,"5,822,508",-100.0,,"1,323,297",-100.0,,"2,319,608",-100.0,,"527,183",-100.0,,,,,,,"3,643,400",,0.0,"828,044",,0.0,"2,219,500",,0.0,"504,432",,0.0,,,,,,,,,,,,,"4,204,300",,0.0,"955,522",,0.0
EFA,가정문화,H580,인따르시아,,"24,957,800",-100.0,,"6,806,676",-100.0,,"10,448,100",-100.0,,"2,849,484",-100.0,,"8,219,000",-100.0,,"2,241,546",-100.0,,"6,290,700",-100.0,,"1,715,646",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H584,제스파,"72,952,600","85,874,000",-15.0,"12,600,904","14,832,777",-15.0,,"9,201,000",-100.0,,"1,589,265",-100.0,,"11,541,000",-100.0,,"1,993,443",-100.0,,"11,260,000",-100.0,,"1,944,907",-100.0,,"26,462,000",-100.0,,"4,570,709",-100.0,,"27,410,000",-100.0,,"4,734,453",-100.0,"21,354,000",,0.0,"3,688,416",,0.0,"16,363,300",,0.0,"2,826,389",,0.0,"29,099,300",,0.0,"5,026,244",,0.0,"6,136,000",,0.0,"1,059,855",,0.0,,,,,,
EFA,가정문화,H585,하우스웨어,,"7,551,616",-100.0,,"823,814",-100.0,,,,,,,,,,,,,,"7,551,616",-100.0,,"823,814",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H594,지포트리,"19,071,200","66,090,400",-71.1,"3,467,489","12,016,433",-71.1,,"10,136,000",-100.0,,"1,842,906",-100.0,,"41,030,500",-100.0,,"7,460,091",-100.0,,"7,684,400",-100.0,,"1,397,163",-100.0,,,,,,,,"7,239,500",-100.0,,"1,316,273",-100.0,"3,905,500",,0.0,"710,089",,0.0,"15,165,700",,0.0,"2,757,400",,0.0,,,,,,,,,,,,,,,,,,
EFA,가정문화,H595,포하우스,,"18,641,260",-100.0,,"3,049,219",-100.0,,"10,460,860",-100.0,,"1,710,609",-100.0,,"8,229,200",-100.0,,"1,346,596",-100.0,,"-48,800",100.0,,"-7,986",100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H611,예인통상,,"7,484,000",-100.0,,"1,700,909",-100.0,,,,,,,,"7,484,000",-100.0,,"1,700,909",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H613,레노마홈,"973,137,054","823,664,220",18.1,"127,628,938","111,083,781",14.9,,"143,076,400",-100.0,,"19,323,359",-100.0,,"135,406,470",-100.0,,"18,483,276",-100.0,,"151,039,370",-100.0,,"20,720,967",-100.0,,"190,962,000",-100.0,,"24,938,044",-100.0,,"203,179,980",-100.0,,"27,618,135",-100.0,"176,246,890",,0.0,"23,334,157",,0.0,"199,124,610",,0.0,"26,344,079",,0.0,"211,820,130",,0.0,"28,837,764",,0.0,"195,530,540",,0.0,"26,130,959",,0.0,"190,414,884",,0.0,"22,981,979",,0.0
EFA,가정문화,H617,리늄아티카,"262,716,100","161,124,200",63.1,"58,612,930","35,875,967",63.4,,"33,225,100",-100.0,,"7,403,617",-100.0,,"28,159,100",-100.0,,"6,233,331",-100.0,,"32,663,700",-100.0,,"7,289,381",-100.0,,"30,640,500",-100.0,,"6,845,635",-100.0,,"36,435,800",-100.0,,"8,104,003",-100.0,"49,608,800",,0.0,"11,027,329",,0.0,"48,967,600",,0.0,"10,905,585",,0.0,"51,346,900",,0.0,"11,470,719",,0.0,"46,224,800",,0.0,"10,323,502",,0.0,"66,568,000",,0.0,"14,885,795",,0.0
EFA,가정문화,H625,알리페즈,"940,661,560","1,022,821,108",-8.0,"143,370,166","154,561,168",-7.2,,"218,494,000",-100.0,,"32,942,335",-100.0,,"240,461,308",-100.0,,"36,158,944",-100.0,,"201,530,000",-100.0,,"30,410,320",-100.0,,"190,979,700",-100.0,,"29,111,588",-100.0,,"171,356,100",-100.0,,"25,937,981",-100.0,"231,657,900",,0.0,"35,110,678",,0.0,"188,436,400",,0.0,"28,704,553",,0.0,"191,711,600",,0.0,"29,436,454",,0.0,"191,125,760",,0.0,"29,055,164",,0.0,"137,729,900",,0.0,"21,063,317",,0.0
EFA,가정문화,H626,쿤리콘,"6,088,500","4,873,000",24.9,"1,383,748","1,107,500",24.9,,,,,,,,,,,,,,,,,,,,"4,873,000",-100.0,,"1,107,500",-100.0,,,,,,,"1,626,000",,0.0,"369,545",,0.0,"989,000",,0.0,"224,772",,0.0,,,,,,,"3,473,500",,0.0,"789,431",,0.0,,,,,,
EFA,가정문화,H628,ELO,"59,295,368","66,808,224",-11.2,"10,780,970","12,146,948",-11.2,,"-95,000",100.0,,"-17,273",100.0,,"22,669,000",-100.0,,"4,121,635",-100.0,,"23,497,016",-100.0,,"4,272,185",-100.0,,"20,737,208",-100.0,,"3,770,401",-100.0,,,,,,,"16,009,000",,0.0,"2,910,728",,0.0,"43,351,368",,0.0,"7,882,060",,0.0,"-65,000",,0.0,"-11,818",,0.0,,,,,,,,,,,,
EFA,가정문화,H636,아르페지오,"144,634,250",,0.0,"32,871,432",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,272,500",,0.0,"3,925,569",,0.0,"27,269,300",,0.0,"6,197,572",,0.0,"33,586,200",,0.0,"7,633,225",,0.0,"33,223,300",,0.0,"7,550,757",,0.0,"33,282,950",,0.0,"7,564,309",,0.0
EFA,가정문화,H639,아이러브허브,,"-59,000",100.0,,"-13,409",100.0,,"-59,000",100.0,,"-13,409",100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H647,슬립앤슬립,"185,788,720","127,430,350",45.8,"42,224,705","28,961,446",45.8,,"16,350,300",-100.0,,"3,715,981",-100.0,,"23,630,550",-100.0,,"5,370,579",-100.0,,"22,638,620",-100.0,,"5,145,139",-100.0,,"25,303,860",-100.0,,"5,750,879",-100.0,,"39,507,020",-100.0,,"8,978,868",-100.0,"27,817,070",,0.0,"6,322,062",,0.0,"27,298,510",,0.0,"6,204,209",,0.0,"50,040,590",,0.0,"11,372,861",,0.0,"56,770,550",,0.0,"12,902,397",,0.0,"23,862,000",,0.0,"5,423,176",,0.0
EFA,가정문화,H649,아임슬리핑,"498,859,979","377,161,500",32.3,"111,537,124","84,397,550",32.2,,"74,753,300",-100.0,,"16,957,914",-100.0,,"75,831,900",-100.0,,"17,187,340",-100.0,,"52,407,000",-100.0,,"11,887,984",-100.0,,"47,348,800",-100.0,,"10,697,718",-100.0,,"126,820,500",-100.0,,"27,666,594",-100.0,"117,463,610",,0.0,"26,360,649",,0.0,"105,945,210",,0.0,"23,637,477",,0.0,"108,630,700",,0.0,"24,338,288",,0.0,"69,040,000",,0.0,"15,472,227",,0.0,"97,780,459",,0.0,"21,728,483",,0.0
EFA,가정문화,H773,커스티,"211,555,140","51,669,520",309.4,"48,080,715","11,743,071",309.4,,"8,473,100",-100.0,,"1,925,704",-100.0,,"8,952,720",-100.0,,"2,034,710",-100.0,,"11,425,020",-100.0,,"2,596,598",-100.0,,"10,402,000",-100.0,,"2,364,088",-100.0,,"12,416,680",-100.0,,"2,821,971",-100.0,"16,220,620",,0.0,"3,686,507",,0.0,"71,201,840",,0.0,"16,182,239",,0.0,"24,921,310",,0.0,"5,663,932",,0.0,"60,269,810",,0.0,"13,697,685",,0.0,"38,941,560",,0.0,"8,850,352",,0.0
