일매출2기간비교분석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조회1(일),2026-01-01 - 2026-05-31,조회2(일),2025-01-01 - 2025-05-31,구매그룹(Now:손익센터),EBA; EFA; EGA; FAA,CU(Now:손익센터),,플랜트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,년월,전체 결과,전체 결과,전체 결과,전체 결과,전체 결과,전체 결과,2025-01,2025-01,2025-01,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-05,2025-05,2025-05,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05
,,,,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익
,,,구조,2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율",2026-01-01,[-] 2025-01-01,"1~2기간
성장율"
지점(Now),,브랜드(Now),,KRW,KRW,%,KRW,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,,KRW,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%,KRW,,%
전체 결과,,,,"86,470,163,646","71,855,802,028",20.3,"14,305,842,071","13,262,089,243",7.9,,"14,202,074,805",-100.0,,"2,634,316,041",-100.0,,"13,782,037,349",-100.0,,"2,642,513,941",-100.0,,"15,051,892,499",-100.0,,"2,690,952,071",-100.0,,"13,171,796,793",-100.0,,"2,516,910,249",-100.0,,"15,648,000,582",-100.0,,"2,777,396,941",-100.0,"15,611,825,446",,0.0,"2,738,885,067",,0.0,"16,631,032,705",,0.0,"2,823,062,064",,0.0,"16,963,557,292",,0.0,"2,830,502,210",,0.0,"16,449,402,838",,0.0,"2,746,542,911",,0.0,"20,814,345,365",,0.0,"3,166,849,819",,0.0
R001/7201,당산점,결과,,"307,232,891","305,434,463",0.6,"280,257,939","278,562,663",0.6,,"61,251,116",-100.0,,"55,869,710",-100.0,,"62,352,971",-100.0,,"56,862,982",-100.0,,"62,163,764",-100.0,,"56,694,088",-100.0,,"59,701,715",-100.0,,"54,417,133",-100.0,,"59,964,897",-100.0,,"54,718,750",-100.0,"62,333,352",,0.0,"56,855,597",,0.0,"63,971,121",,0.0,"58,389,188",,0.0,"61,506,053",,0.0,"56,107,297",,0.0,"60,355,626",,0.0,"55,060,242",,0.0,"59,066,739",,0.0,"53,845,615",,0.0
R001/7201,당산점,#,지정되지 않음,"307,232,891","305,434,463",0.6,"280,257,939","278,562,663",0.6,,"61,251,116",-100.0,,"55,869,710",-100.0,,"62,352,971",-100.0,,"56,862,982",-100.0,,"62,163,764",-100.0,,"56,694,088",-100.0,,"59,701,715",-100.0,,"54,417,133",-100.0,,"59,964,897",-100.0,,"54,718,750",-100.0,"62,333,352",,0.0,"56,855,597",,0.0,"63,971,121",,0.0,"58,389,188",,0.0,"61,506,053",,0.0,"56,107,297",,0.0,"60,355,626",,0.0,"55,060,242",,0.0,"59,066,739",,0.0,"53,845,615",,0.0
R001/7204,중계점,결과,,"2,377,377,435","2,157,401,984",10.2,"251,340,373","235,828,446",6.6,,"414,059,606",-100.0,,"49,769,548",-100.0,,"373,501,938",-100.0,,"39,832,214",-100.0,,"468,310,141",-100.0,,"49,404,792",-100.0,,"409,483,313",-100.0,,"45,352,480",-100.0,,"492,046,986",-100.0,,"51,469,412",-100.0,"443,300,810",,0.0,"53,766,258",,0.0,"428,363,011",,0.0,"44,071,301",,0.0,"474,792,419",,0.0,"47,701,772",,0.0,"443,398,525",,0.0,"47,264,891",,0.0,"587,522,670",,0.0,"58,536,151",,0.0
R001/7204,중계점,B845,모던하우스공통(MODERN HOUSE,"2,323,243,730","2,099,005,390",10.7,"226,118,616","202,071,166",11.9,,"399,751,480",-100.0,,"38,387,372",-100.0,,"367,100,910",-100.0,,"35,205,051",-100.0,,"445,656,160",-100.0,,"42,875,299",-100.0,,"401,091,680",-100.0,,"38,805,109",-100.0,,"485,405,160",-100.0,,"46,798,335",-100.0,"413,778,780",,0.0,"40,504,316",,0.0,"415,179,460",,0.0,"40,281,144",,0.0,"471,893,310",,0.0,"45,834,592",,0.0,"437,752,330",,0.0,"42,800,546",,0.0,"584,639,850",,0.0,"56,698,018",,0.0
R001/7204,중계점,H545,수엔지,"17,636,900",,0.0,"4,008,386",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,649,800",,0.0,"4,011,318",,0.0,"-12,900",,0.0,"-2,932",,0.0,,,,,,,,,,,,,,,,,,
R001/7204,중계점,H625,알리페즈,"9,278,000",,0.0,"1,265,182",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,449,500",,0.0,"1,288,569",,0.0,"-171,500",,0.0,"-23,387",,0.0,,,,,,,,,,,,
R001/7204,중계점,H967,몽드블랑,,"15,772,800",-100.0,,"1,864,058",-100.0,,,,,,,,,,,,,,"15,772,800",-100.0,,"1,864,058",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7204,중계점,I137,컬러몬,,"3,335,000",-100.0,,"545,728",-100.0,,"400,000",-100.0,,"65,455",-100.0,,"380,000",-100.0,,"62,182",-100.0,,"970,000",-100.0,,"158,727",-100.0,,"705,000",-100.0,,"115,364",-100.0,,"880,000",-100.0,,"144,000",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7204,중계점,I239,펀코인,"5,551,500","5,455,500",1.8,"1,261,703","1,239,887",1.8,,"990,000",-100.0,,"225,000",-100.0,,"1,333,500",-100.0,,"303,068",-100.0,,"1,272,500",-100.0,,"289,205",-100.0,,"816,000",-100.0,,"185,455",-100.0,,"1,043,500",-100.0,,"237,159",-100.0,"1,239,500",,0.0,"281,704",,0.0,"1,252,000",,0.0,"284,545",,0.0,"1,141,000",,0.0,"259,318",,0.0,"877,000",,0.0,"199,318",,0.0,"1,042,000",,0.0,"236,818",,0.0
R001/7204,중계점,#,지정되지 않음,"21,667,305","33,833,294",-36.0,"18,686,486","30,107,607",-37.9,,"12,918,126",-100.0,,"11,091,721",-100.0,,"4,687,528",-100.0,,"4,261,913",-100.0,,"4,638,681",-100.0,,"4,217,503",-100.0,,"6,870,633",-100.0,,"6,246,552",-100.0,,"4,718,326",-100.0,,"4,289,918",-100.0,"10,632,730",,0.0,"8,968,920",,0.0,"2,494,951",,0.0,"2,219,975",,0.0,"1,929,609",,0.0,"1,631,249",,0.0,"4,769,195",,0.0,"4,265,027",,0.0,"1,840,820",,0.0,"1,601,315",,0.0
R001/7206,안양점,결과,,"319,044,909","353,921,898",-9.9,"147,565,301","163,906,065",-10.0,,"33,882,557",-100.0,,"27,162,337",-100.0,,"37,644,463",-100.0,,"27,837,787",-100.0,,"30,509,323",-100.0,,"26,241,119",-100.0,,"132,532,632",-100.0,,"44,223,903",-100.0,,"119,352,923",-100.0,,"38,440,919",-100.0,"54,565,742",,0.0,"27,428,857",,0.0,"48,249,015",,0.0,"25,962,942",,0.0,"69,171,791",,0.0,"30,716,599",,0.0,"64,737,261",,0.0,"29,720,860",,0.0,"82,321,100",,0.0,"33,736,043",,0.0
R001/7206,안양점,H499,락앤락,,"89,075,600",-100.0,,"12,146,671",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,"89,075,600",-100.0,,"12,146,671",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7206,안양점,H545,수엔지,"190,858,900","48,965,600",289.8,"43,377,008","11,128,546",289.8,,,,,,,,,,,,,,,,,,,,"48,965,600",-100.0,,"11,128,546",-100.0,,,,,,,"25,582,500",,0.0,"5,814,199",,0.0,"20,835,300",,0.0,"4,735,295",,0.0,"44,725,900",,0.0,"10,164,976",,0.0,"40,992,200",,0.0,"9,316,405",,0.0,"58,723,000",,0.0,"13,346,133",,0.0
R001/7206,안양점,H578,정인,"5,862,900",,0.0,"1,332,476",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,643,400",,0.0,"828,044",,0.0,"2,219,500",,0.0,"504,432",,0.0,,,,,,,,,,,,,,,,,,
R001/7206,안양점,H809,충전돼지,,"65,559",-100.0,,"23,840",-100.0,,,,,,,,,,,,,,"24,425",-100.0,,"8,882",-100.0,,,,,,,,"41,134",-100.0,,"14,958",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7206,안양점,H890,아이프릴,"3,991,500","2,244,000",77.9,"907,159","510,000",77.9,,"706,000",-100.0,,"160,455",-100.0,,"257,000",-100.0,,"58,409",-100.0,,"291,000",-100.0,,"66,136",-100.0,,"492,000",-100.0,,"111,818",-100.0,,"498,000",-100.0,,"113,182",-100.0,"1,681,500",,0.0,"382,159",,0.0,"1,474,500",,0.0,"335,114",,0.0,"835,500",,0.0,"189,886",,0.0,,,,,,,,,,,,
R001/7206,안양점,H967,몽드블랑,,"22,935,500",-100.0,,"2,710,562",-100.0,,,,,,,,,,,,,,,,,,,,"22,935,500",-100.0,,"2,710,562",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7206,안양점,I102,글라스락,,"30,117,100",-100.0,,"4,106,875",-100.0,,,,,,,,,,,,,,,,,,,,"30,117,100",-100.0,,"4,106,875",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7206,안양점,I134,황토방,,"9,930,100",-100.0,,"2,256,842",-100.0,,"2,831,700",-100.0,,"643,567",-100.0,,"7,098,400",-100.0,,"1,613,275",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7206,안양점,#,지정되지 않음,"118,331,609","150,588,439",-21.4,"101,948,658","131,022,729",-22.2,,"30,344,857",-100.0,,"26,358,315",-100.0,,"30,289,063",-100.0,,"26,166,103",-100.0,,"30,193,898",-100.0,,"26,166,101",-100.0,,"30,022,432",-100.0,,"26,166,102",-100.0,,"29,738,189",-100.0,,"26,166,108",-100.0,"23,658,342",,0.0,"20,404,455",,0.0,"23,719,715",,0.0,"20,388,101",,0.0,"23,610,391",,0.0,"20,361,737",,0.0,"23,745,061",,0.0,"20,404,455",,0.0,"23,598,100",,0.0,"20,389,910",,0.0
R001/7209,분당점,결과,,"2,552,334,417","2,250,154,081",13.4,"326,036,946","297,757,753",9.5,,"415,245,280",-100.0,,"55,166,311",-100.0,,"537,332,093",-100.0,,"73,124,497",-100.0,,"409,166,434",-100.0,,"57,039,942",-100.0,,"394,591,802",-100.0,,"50,166,004",-100.0,,"493,818,472",-100.0,,"62,260,999",-100.0,"462,817,420",,0.0,"57,692,404",,0.0,"602,292,828",,0.0,"83,300,218",,0.0,"465,834,188",,0.0,"60,198,481",,0.0,"449,683,897",,0.0,"54,543,751",,0.0,"571,706,084",,0.0,"70,302,092",,0.0
R001/7209,분당점,B845,모던하우스공통(MODERN HOUSE,"2,078,593,172","1,733,279,950",19.9,"199,221,888","164,395,444",21.2,,"333,571,550",-100.0,,"31,645,600",-100.0,,"311,743,090",-100.0,,"29,554,979",-100.0,,"342,131,770",-100.0,,"32,489,219",-100.0,,"320,818,780",-100.0,,"30,352,852",-100.0,,"425,014,760",-100.0,,"40,352,794",-100.0,"397,328,552",,0.0,"38,112,217",,0.0,"375,880,390",,0.0,"36,112,027",,0.0,"405,409,060",,0.0,"38,981,963",,0.0,"387,718,200",,0.0,"37,163,102",,0.0,"512,256,970",,0.0,"48,852,579",,0.0
R001/7209,분당점,H545,수엔지,"101,406,000","115,231,400",-12.0,"23,046,811","25,923,376",-11.1,,"14,055,900",-100.0,,"3,194,521",-100.0,,"44,679,200",-100.0,,"9,887,699",-100.0,,"22,376,100",-100.0,,"5,086,565",-100.0,,,,,,,,"34,120,200",-100.0,,"7,754,591",-100.0,,,,,,,"51,904,700",,0.0,"11,796,518",,0.0,"22,010,300",,0.0,"5,002,341",,0.0,"-254,600",,0.0,"-57,864",,0.0,"27,745,600",,0.0,"6,305,816",,0.0
R001/7209,분당점,H578,정인,,"15,713,746",-100.0,,"3,571,305",-100.0,,"7,571,630",-100.0,,"1,720,825",-100.0,,,,,,,,"5,822,508",-100.0,,"1,323,297",-100.0,,"2,319,608",-100.0,,"527,183",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7209,분당점,H594,지포트리,"15,165,700","22,389,800",-32.3,"2,757,400","4,070,872",-32.3,,,,,,,,"22,389,800",-100.0,,"4,070,872",-100.0,,,,,,,,,,,,,,,,,,,0,,0.0,0,,0.0,"15,165,700",,0.0,"2,757,400",,0.0,,,,,,,,,,,,,,,,,,
R001/7209,분당점,H611,예인통상,,"7,484,000",-100.0,,"1,700,909",-100.0,,,,,,,,"7,484,000",-100.0,,"1,700,909",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7209,분당점,H625,알리페즈,"103,838,900","114,509,300",-9.3,"14,159,859","15,614,895",-9.3,,"36,950,000",-100.0,,"5,038,633",-100.0,,"39,743,600",-100.0,,"5,419,580",-100.0,,,,,,,,"37,835,700",-100.0,,"5,159,409",-100.0,,"-20,000",100.0,,"-2,727",100.0,"40,988,100",,0.0,"5,589,287",,0.0,"38,544,800",,0.0,"5,256,117",,0.0,,,,,,,"24,306,000",,0.0,"3,314,455",,0.0,,,,,,
R001/7209,분당점,H628,ELO,"30,406,368",,0.0,"5,528,427",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,461,368",,0.0,"5,538,427",,0.0,"-55,000",,0.0,"-10,000",,0.0,,,,,,,,,,,,
R001/7209,분당점,H833,헬로포토,,"5,172,740",-100.0,,"611,324",-100.0,,"918,000",-100.0,,"108,491",-100.0,,"1,370,740",-100.0,,"161,996",-100.0,,"993,000",-100.0,,"117,355",-100.0,,"940,000",-100.0,,"111,091",-100.0,,"951,000",-100.0,,"112,391",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7209,분당점,H967,몽드블랑,,"42,381,400",-100.0,,"5,008,710",-100.0,,,,,,,,"42,381,400",-100.0,,"5,008,710",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7209,분당점,I050,포트메리온,"44,429,300",,0.0,"5,250,738",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,429,300",,0.0,"5,250,738",,0.0,,,,,,,,,,,,,,,,,,
R001/7209,분당점,I289,크린토피아,"83,616,240","75,716,360",10.4,"7,601,476","6,883,304",10.4,,"8,082,250",-100.0,,"734,752",-100.0,,"8,416,150",-100.0,,"765,104",-100.0,,"19,911,570",-100.0,,"1,810,142",-100.0,,"19,072,580",-100.0,,"1,733,869",-100.0,,"20,233,810",-100.0,,"1,839,437",-100.0,"9,962,670",,0.0,"905,697",,0.0,"9,887,760",,0.0,"898,887",,0.0,"22,588,440",,0.0,"2,053,493",,0.0,"24,663,440",,0.0,"2,242,132",,0.0,"16,513,930",,0.0,"1,501,267",,0.0
R001/7209,분당점,I301,테팔,,"45,339,800",-100.0,,"4,121,800",-100.0,,,,,,,,"45,339,800",-100.0,,"4,121,800",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7209,분당점,I506,파고,"23,824,300",,0.0,"4,764,860",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,824,300",,0.0,"4,764,860",,0.0,,,,,,,,,,,,,,,,,,
R001/7209,분당점,#,지정되지 않음,"71,054,437","72,935,585",-2.6,"63,705,487","65,855,814",-3.3,,"14,095,950",-100.0,,"12,723,489",-100.0,,"13,784,313",-100.0,,"12,432,848",-100.0,,"17,931,486",-100.0,,"16,213,364",-100.0,,"13,605,134",-100.0,,"12,281,600",-100.0,,"13,518,702",-100.0,,"12,204,513",-100.0,"14,538,098",,0.0,"13,085,203",,0.0,"12,194,510",,0.0,"10,925,244",,0.0,"15,881,388",,0.0,"14,170,684",,0.0,"13,250,857",,0.0,"11,881,926",,0.0,"15,189,584",,0.0,"13,642,430",,0.0
R001/7214,해운대점,결과,,"3,114,378,478","2,923,659,437",6.5,"427,654,485","418,437,438",2.2,,"532,484,673",-100.0,,"75,476,518",-100.0,,"508,352,815",-100.0,,"73,424,819",-100.0,,"564,258,842",-100.0,,"79,538,914",-100.0,,"611,954,850",-100.0,,"89,892,994",-100.0,,"706,608,257",-100.0,,"100,104,193",-100.0,"550,557,530",,0.0,"77,505,584",,0.0,"706,476,174",,0.0,"98,227,809",,0.0,"601,222,257",,0.0,"81,876,271",,0.0,"605,236,760",,0.0,"82,531,813",,0.0,"650,885,757",,0.0,"87,513,008",,0.0
R001/7214,해운대점,B845,모던하우스공통(MODERN HOUSE,"1,364,834,090","1,237,205,980",10.3,"128,649,952","117,189,159",9.8,,"243,749,060",-100.0,,"23,023,405",-100.0,,"231,155,850",-100.0,,"21,826,456",-100.0,,"255,032,640",-100.0,,"24,127,833",-100.0,,"230,844,460",-100.0,,"21,910,715",-100.0,,"276,423,970",-100.0,,"26,300,750",-100.0,"252,148,950",,0.0,"23,778,833",,0.0,"248,285,500",,0.0,"23,352,894",,0.0,"263,451,030",,0.0,"24,841,306",,0.0,"264,707,700",,0.0,"24,931,976",,0.0,"336,240,910",,0.0,"31,744,943",,0.0
R001/7214,해운대점,D808,아트박스,,0,0.0,,5,-100.0,,0,0.0,,5,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7214,해운대점,H469,사담가,"40,468,700","42,781,900",-5.4,"7,689,053","8,128,561",-5.4,,"5,086,000",-100.0,,"966,340",-100.0,,"11,111,700",-100.0,,"2,111,223",-100.0,,"4,076,500",-100.0,,"774,535",-100.0,,"3,964,700",-100.0,,"753,293",-100.0,,"18,543,000",-100.0,,"3,523,170",-100.0,"5,332,700",,0.0,"1,013,213",,0.0,"9,405,500",,0.0,"1,787,045",,0.0,"3,809,000",,0.0,"723,710",,0.0,"4,046,000",,0.0,"768,740",,0.0,"17,875,500",,0.0,"3,396,345",,0.0
R001/7214,해운대점,H483,비비안,"141,217,850","132,572,870",6.5,"35,304,463","33,143,218",6.5,,"23,206,500",-100.0,,"5,801,625",-100.0,,"19,171,500",-100.0,,"4,792,875",-100.0,,"27,226,730",-100.0,,"6,806,683",-100.0,,"30,541,260",-100.0,,"7,635,315",-100.0,,"32,426,880",-100.0,,"8,106,720",-100.0,"25,680,000",,0.0,"6,420,000",,0.0,"60,268,180",,0.0,"15,067,045",,0.0,"33,866,150",,0.0,"8,466,538",,0.0,"14,454,600",,0.0,"3,613,650",,0.0,"6,948,920",,0.0,"1,737,230",,0.0
R001/7214,해운대점,H499,락앤락,"84,635,600","102,075,280",-17.1,"11,541,223","13,919,354",-17.1,,,,,,,,,,,,,,,,,,,,"102,075,280",-100.0,,"13,919,354",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,"84,635,600",,0.0,"11,541,223",,0.0,,,,,,
R001/7214,해운대점,H613,레노마홈,"213,529,190","215,477,490",-0.9,"23,294,097","23,506,638",-0.9,,"36,450,140",-100.0,,"3,976,377",-100.0,,"31,735,700",-100.0,,"3,462,076",-100.0,,"34,642,310",-100.0,,"3,779,162",-100.0,,"56,865,950",-100.0,,"6,203,561",-100.0,,"55,783,390",-100.0,,"6,085,462",-100.0,"45,363,470",,0.0,"4,948,747",,0.0,"44,671,760",,0.0,"4,873,281",,0.0,"37,160,360",,0.0,"4,053,861",,0.0,"42,300,130",,0.0,"4,614,557",,0.0,"44,033,470",,0.0,"4,803,651",,0.0
R001/7214,해운대점,H625,알리페즈,,"48,331,800",-100.0,,"6,590,698",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,"48,331,800",-100.0,,"6,590,698",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R001/7214,해운대점,H773,커스티,"86,019,090","51,669,520",66.5,"19,549,797","11,743,071",66.5,,"8,473,100",-100.0,,"1,925,704",-100.0,,"8,952,720",-100.0,,"2,034,710",-100.0,,"11,425,020",-100.0,,"2,596,598",-100.0,,"10,402,000",-100.0,,"2,364,088",-100.0,,"12,416,680",-100.0,,"2,821,971",-100.0,"13,204,420",,0.0,"3,001,007",,0.0,"15,328,000",,0.0,"3,483,638",,0.0,"19,206,710",,0.0,"4,365,161",,0.0,"13,183,840",,0.0,"2,996,328",,0.0,"25,096,120",,0.0,"5,703,663",,0.0
R001/7214,해운대점,H915,다원레져,"24,381,700","18,408,100",32.5,"4,433,036","3,346,927",32.5,,"3,925,500",-100.0,,"713,727",-100.0,,"5,235,700",-100.0,,"951,945",-100.0,,"3,015,600",-100.0,,"548,291",-100.0,,"2,500,300",-100.0,,"454,600",-100.0,,"3,731,000",-100.0,,"678,364",-100.0,"5,455,000",,0.0,"991,818",,0.0,"4,698,000",,0.0,"854,182",,0.0,"4,804,700",,0.0,"873,582",,0.0,"3,785,000",,0.0,"688,181",,0.0,"5,639,000",,0.0,"1,025,273",,0.0
