브랜드 적합도 지점별 층별 면적(전용) 인풋할게 

		전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적	전용면적
플랜트	층	전체 결과	0	1	2	3	4	5	6	7	8	9	10	11	12	13	B1	B2
7204	중계점	3,011.40		320	320.3	333.6	297.8	357.6	309.7	260.5	349	48					414.9	
7206	안양점	2,250.90		313.1	397.6	455.2	407.1	242.7									435.2	
7209	분당점	4,272.20	24.5	403.8	516.5	526.5	517.3	609.6	595.9								726	352.1
7213	구로점	545.9			28												517.9	
7214	해운대점	4,814.50		427.1	474.1	508.7	574.8	482.3	471.4	582.9			321.8				429.9	541.5
7215	천호2점	2,656.60		314.2	410.3	435.5	488	442.8									565.8	
7216	부평점	3,456.40		710.1	553.6	518.8	774										899.9	
7217	불광점	6,187.80		368.3	429.2	648.9	571.2	568.9	638.3	485.1	516.2						949.7	1,012.00
7219	고잔점	4,792.20	20	311.2	356.9	450.2	343.3	530.4	343.1	384.3	423.9	430.1	382.7		215.3		399.3	201.5
7305	NC포항점	693.2		693.2														
8201	일산점	6,134.10		421.1	459.9	466.4	469.8	463.1	436.1	445.6	536.3	485.8	641				862.4	446.6
8202	야탑점	6,307.20	6.7	446.6	332.9	362.2	320.9	360	381.2	328.5	246.4	297.8	346.2	440.9	604		1,175.40	657.5
8203	인천점	5,333.40	10	352.9	381.9	396.1	382.9	413.1	427.6	411.9	599.4	490.8	500.7	427.4			538.7	
8204	평택점	3,837.70		283	326.7	280.2	310.4	296.6	320.6	274.5	387.6	290.4	274.2	341			452.5	
8205	평촌2점	6,787.90	3	383.5	470.8	487.4	530.7	559.1	502.9	500.7	669.1	649.4	625.9				849.7	555.7
8206	강남점	7,641.20	1	610.1	517.3	532.1	538.3	542.9	410.4	274.9	427.6	569.2	278	541	323.6		2,074.80	
8208	동수원	6,025.60	0.6	464.2	544.5	604	617.1	550	527.6	714.8	649.4	635					718.4	
8212	순천점	5,292.00	49.9	452.6	519.8	449.6	433.3	414.2	454.4	507.4	574.8			67.4	279.2	357.9	731.5	
8215	산본점	1,854.50		588.7	877.1	388.7												
8216	울산점	1,924.40		166.2	209.2	237.9	227.1	215	212.5	140.9	274	211.6						30
8217	광명점	2,428.40	7.3	278	229.2	248.3	208.1	219	254.9	316.1							667.5	
8218	괴정점	2,677.20		312.3	478.6	385.2	360.5	497.2	52.9								590.5	
8219	울산2점	1,117.40	0	201	212.2	210	152.3	141.8	181								19.1	
8220	창원점	3,481.40		445.1	355.7	424.2	447.1	501.5	593.5								714.3	
8222	부천점	7,882.40		1,202.00	1,039.30	1,044.60	2,220.90	2,375.60										
8223	덕천점	2,098.90		197.4	357.8	283.2	280	310.7	393.5								276.3	
8224	송파점	8,334.50		596.4	534.9	956.2	1,142.90	1,252.90	1,179.40	1,304.70	944.6	422.5						
8226	논현점	2,291.20		633.7	976.7	680.8												
8227	강서점	10,006.80		876.1	922.4	897	986.1	899.6	1,066.90	861.1	1,113.00	988.7	479.8				916.1	
8228	충장점	4,506.80		428.7	461.4	406.4	426.2	354.8	413.2	365.5	354.9	369.2	403	523.5				
8229	부산대점	5,765.90		1,023.30	775	757.3	698.9	849.6	809.2								852.6	
8230	전주점	1,961.40		472.5	330.7	399.6	435.3										323.3	
8231	엑스코점	3,822.30		1,193.90	1,334.90	1,293.50												
8233	광주역점	4,787.10	26.2	415.4	427.5	408.4	401.1	410.7	428	373.1	323.6	501.6	439.6	169.2			462.7	
8235	중앙로역점	3,388.60		447.1	418.9	426.1	423.9	352.9	148.8	236.3	230		260.8				443.8	
8237	수원터미널점	5,211.00		856.7	1,058.90	893.8	916.6	989.9	495.1									
8238	서면점	0.2						0.2										
8239	경산점	2,527.40		329.2	432.9	354.6	616.2	472.2									322.3	
8241	청주점	6,122.10		598.9	652.6	663.3	846.3	634.8	591.2	878.7	861.2						395.1	
8242	신구로점	7,484.10		1,164.70	928.7	987.3	963.5	1,059.80	450.8	537.2							1,392.10	
8243	대전유성점	11,760.50		856.7	865.5	1,021.30	1,085.20	1,019.90	900.8	1,262.60	1,243.20	1,027.90	1,152.70				1,324.70	
8501	쇼핑점	4,602.60		363.6	398.8	413.2	354.3	427.5	339.5	398.3	263.2	304	221.7	200.3	198		720.2	
8502	수성점	3,851.70		347.4	361.7	347.1	357.6	345	323.7	303	345.4						716.6	404.2
8503	구미점	1,253.60		231.9	192.2	211.8	216.2	193.7	207.8									
8504	강북점	2,111.20		132	217.8	223.7	222.2	220.5	271.9	19.7	228.7	168.4	204.8				201.5
